;text;retweet;coordinates;created_at;location;favourites_count;followers_count;friends_count;statuses_count;q_retweet_count;score;sentiment
26;Vida longa a esse brasileiro de escol chamado Alexandre Garcia!;0;;Sun Sep 26 01:53:18 +0000 2021;jundiai;100648;2736;3818;43339;0;0.0;neutral
27;Independente de concordar ou não com o jornalista Alexandre Garcia é um grande contrassenso que chega a ser hilár… ;0;;Sun Sep 26 01:53:18 +0000 2021;São Paulo - Brazil;4;4;10;2382;0;0.0;neutral
28;Aos poucos mas de forma contínua vão cortando os comunicadores com grandes números de seguidores. Mas um jorn… ;1;;Sun Sep 26 01:52:40 +0000 2021;;12268;3473;4988;15273;27;0.0;neutral
29;Alexandre Garcia o Mestre do jornalismo no Brasil! #CNNLixo #CNNBrasilLixo ;0;;Sun Sep 26 01:52:03 +0000 2021;;20340;110;268;6009;535;0.0;neutral
30;"Internautas criticam CNN por demissão de Alexandre Garcia // ""internautas"" o cacete gado pastando . ";0;;Sun Sep 26 01:51:47 +0000 2021;Ceará, Brasil;6481;1313;1322;12421;0;-0.896301;negative
31;Você é filhinho do Paulo Freire? Essas suas ideias estão vindo a pé… ;0;;Sun Sep 26 01:51:00 +0000 2021;Piracicaba, Brasil;10012;134;532;1007;0;0.705345;positive
32;Eu tbm. Só assistia o jornalista Alexandre Garcia. ;0;;Sun Sep 26 01:50:51 +0000 2021;;91351;1163;812;53845;1934;0.0;neutral
33;Eu dificilmente dei audiência a aquela carniça raramente assistia alguma coisa por causa de Alexandre Garcia. ;0;;Sun Sep 26 01:50:25 +0000 2021;;103303;966;1293;20746;1118;-0.865099;negative
34;Alexandre Garcia se pronuncia sobre demissão e faz um apelo ;0;;Sun Sep 26 01:50:23 +0000 2021;;34957;13001;7999;27806;0;0.0;neutral
35;Parabéns Grande Alexandre Garcia;0;;Sun Sep 26 01:50:17 +0000 2021;Es- Brasil ;49136;527;871;4905;0;0.970458;positive
36;Alexandre Garcia É LIXO.;0;;Sun Sep 26 01:50:17 +0000 2021;;0;6;542;1316;0;-0.841599;negative
37;Parabéns Alexandre Garcia sou seu fã quanto a essa emissora esquerdista CNN está no mesmo caminho que a globolixoa… ;0;;Sun Sep 26 01:49:56 +0000 2021;Telêmaco Borba Pr, Brasil;59120;6695;6690;53198;0;0.917318;positive
38;ME ORGULHO DE FAZER PARTE DOS MILHÕES DE INSCRITOS EM TEU CANAL MEU CARO ALEXANDRE GARCIA 👍🏼PARABÉNS 🍾 ;0;;Sun Sep 26 01:49:18 +0000 2021;;42004;134;89;40659;916;0.94818;positive
39;Mentindo descaradamente. A ciência já descartou qualq… ;0;;Sun Sep 26 01:48:57 +0000 2021;Goiânia, Brasil;1707;83;132;2060;0;-0.88661;negative
40;Não tenho nada a perguntar. O homem é um livro aberto. Mas seria bom um jornalista como Alexandre Garcia na ban… ;0;;Sun Sep 26 01:48:11 +0000 2021;São Paulo, Brasil;2001;8720;3087;186400;4024;-0.478718;negative
41;Vídeo: Alexandre Garcia é desmentido ao vivo na CNN mais uma vez ;0;;Sun Sep 26 01:48:00 +0000 2021;;3531;9;91;18294;0;0.0;neutral
42;Parabéns Alexandre Garcia...estou sempre seguindo vc... ;0;;Sun Sep 26 01:47:10 +0000 2021;;677;275;443;241;177;0.974758;positive
43;Você merece Alexandre Garcia!!! Aquele LIXO não te merece!!! Você é muito maior e mais querido que aquela bosta. ;1;;Sun Sep 26 01:47:04 +0000 2021;;8489;18880;20440;20905;6344;-0.437481;negative
44;DONO DA CNN PODE READMITIR ALEXANDRE GARCIA EDUARDO PAES ZOMBA DA CARA DE NIKOLAS E MAIS!!! ;0;;Sun Sep 26 01:46:57 +0000 2021;;25545;2391;2609;23688;0;0.0;neutral
45;Admiro Alexandre Garcia e acho que todos devem ter direito de expor sua opinião.;0;;Sun Sep 26 01:46:46 +0000 2021;;19;0;0;1;0;0.711235;positive
46;Quem está seguindo Alexandre Garcia nas redes e Youtube?Quem não segue mais a CNN??Vamos mostrar a força de ser Patriota 🇧🇷🇧🇷🇧🇷🇧🇷;0;;Sun Sep 26 01:46:22 +0000 2021;Rio de Janeiro, Brasil;82415;6276;6612;25608;0;0.0;neutral
47;Alexandre Garcia. Se voltar não vejo mais cnn;1;;Sun Sep 26 01:46:06 +0000 2021;Brasil;79;2;254;2474;0;-0.658135;negative
48;A expulsão de Borel  a deputada Soraya manato obrigada pela justiça a apagar Fake news  Alexandre Garcia demitido… ;0;;Sun Sep 26 01:46:06 +0000 2021;Vitória-ES ;27746;24471;4093;34892;0;0.0;neutral
49;Alexandre nazi Garcia demitido. Edu mini pinto com covid. Que a justiça divina continue se alastrando;0;;Sun Sep 26 01:45:27 +0000 2021;;62;0;9;420;0;0.0;neutral
50;Após ser demitido da CNN Alexandre Garcia atinge 2 milhões de inscritos no YouTube ;0;;Sun Sep 26 01:45:13 +0000 2021;São Paulo, Brasil;162457;133;73;37233;0;0.0;neutral
51;Após saída da CNN Brasil canal de Alexandre Garcia no YouTube atinge 2 milhões de inscritos ;1;;Sun Sep 26 01:45:04 +0000 2021;Brasil;143722;4612;4934;133302;0;0.0;neutral
52;ALEXANDRE GARCIA é um GIGANTE frente a esses esquerdopatas. ;0;;Sun Sep 26 01:44:58 +0000 2021;;3842;838;1547;1416;8;0.0;neutral
53;Você construiu um nome em razão de sua competência e trabalho. Nunca se submeteu à pressão da mídi… ;0;;Sun Sep 26 01:44:54 +0000 2021;Campo Grande, MS;3840;651;664;1736;0;0.0;neutral
54;Que lixo de emissora. Os jornaleiros militantes que vocês tem aí não chegam aos pés do JORNALISTA Alexa… ;0;;Sun Sep 26 01:44:26 +0000 2021;;4;6;9;389;0;-0.905203;negative
55;Nunca assisti então quero mais é que se danem sou inscrita no canal de Alexandre Garcia basta.;0;;Sun Sep 26 01:44:21 +0000 2021;;3250;602;602;1385;0;-0.464624;negative
56;O Alexandre Garcia é maior q todos os jornalistas da CNN juntos em todos os aspectos 🇧🇷;0;;Sun Sep 26 01:44:17 +0000 2021;Rio de Janeiro, Brasil;3338;91;351;2842;0;0.0;neutral
57;Deixei na hora que soube da saída do Alexandre Garcia;0;;Sun Sep 26 01:43:25 +0000 2021;Praia Grande;302;113;363;1370;0;0.0;neutral
58;A demissão do jornalista Alexandre Garcia pela vai contra a liberdade de imprensa. Tem o mesmo peso repressivo de 1964.;0;;Sun Sep 26 01:43:07 +0000 2021;;5;17;92;951;0;0.0;neutral
59;Não se preocupe... O Alexandre Garcia já está com 2 milhões de inscritos. Quem perdeu foi a CNN que… ;0;;Sun Sep 26 01:41:05 +0000 2021;Osasco, Brasil;18458;1523;1824;11097;0;-0.889403;negative
60;Alexandre Garcia é maior do que qualquer emissora. O choro é livre!;0;;Sun Sep 26 01:40:31 +0000 2021;Rio de Janeiro, Brasil;75;74;446;5199;0;0.0;neutral
61;Alexandre Garcia é demitido da CNN após defender tratamento precoce ;0;;Sun Sep 26 01:39:21 +0000 2021;Sao Luis(MA) ;302;543;1540;22443;0;0.0;neutral
62;Sr Alexandre Garcia o senhor merece é cada seguidor reconhece ó seu trabalho vamos chegar a 4 milh… ;0;;Sun Sep 26 01:38:46 +0000 2021;;15788;107;222;11620;0;0.831608;positive
63;Se a sua carreira na televisão for um décimo da decadência do Alexandre Garcia você festejar sem parar.;0;;Sun Sep 26 01:38:32 +0000 2021;;103;2;90;324;0;0.0;neutral
64;Print do ataque do petista José Trajano (ex-ESPN Brasil) ao Alexandre Garcia e ao seu avô ;0;;Sun Sep 26 01:37:38 +0000 2021;Rio de Janeiro;120857;493;467;102926;0;0.0;neutral
65;É impressão minha ou está comemorando a demissão de Alexandre Garcia? Como a mediocridade to… ;0;;Sun Sep 26 01:37:10 +0000 2021;;910;26;205;292;0;-0.900108;negative
66;José Trajano (ex-ESPN Brasil) atacou o Alexandre Garcia e o avô do Paulo Figueiredo ;0;;Sun Sep 26 01:36:22 +0000 2021;Rio de Janeiro;120857;493;467;102926;0;0.0;neutral
67;CNN não aguentou a inteligência dos argumentos de Alexandre Garcia. Ellisa Robson de Brasília. ;0;;Sun Sep 26 01:36:01 +0000 2021;Goiânia, Brasil;2320;323;718;3590;0;0.0;neutral
68;"Se vê que a bosta da CNN não admite ""LIBERDADE DE OPINIÃO"" Até agora só assistia por causa do Alexandre… ";0;;Sun Sep 26 01:35:56 +0000 2021;;92;4;35;18;0;-0.926421;negative
69;TOMA VERGONHA NA CARA SEU MOLEQUE SAFADO VC. NÃO VALE MAIS QUE O CHÃO QUE ALEXANDRE GARCIA PISSA.… ;0;;Sun Sep 26 01:35:39 +0000 2021;;32730;9907;10897;121874;0;-0.918086;negative
70;Com certeza essa imprensa sórdida se acha a última bolacha do pacote mas já mostramos pra CNN a força dos bolsona… ;0;;Sun Sep 26 01:35:36 +0000 2021;Balneário Camboriú SC;7767;4369;4074;6745;58;-0.77591;negative
71;José Trajano (ex-chefe da ESPN Brasil) atacou o Alexandre Garcia e o avô d… ;0;;Sun Sep 26 01:35:35 +0000 2021;Rio de Janeiro;120857;493;467;102926;0;0.0;neutral
72;O canal quem tem acesso são pessoas que pagam tv por assinatura. Que no Brasil a maioria é classe média… ;0;;Sun Sep 26 01:35:27 +0000 2021;São Paulo, Brasil;2001;8720;3087;186400;266;-0.871195;negative
73;No Brasil inventaram a demissão de Alexandre Garcia!;0;;Sun Sep 26 01:35:08 +0000 2021;;1220;114;259;2531;0;0.0;neutral
74;Alexandre Garcia é uma relíquia do Jornalismo Brasileiro nós Brasileiros estamos deixando esse ba… ;0;;Sun Sep 26 01:34:55 +0000 2021;;23;31;167;1852;0;0.0;neutral
75;Quem perdeu foi o lixo da CNN. Perdeu em credibilidade elegância isenção e precisão da notícia.… ;0;;Sun Sep 26 01:34:50 +0000 2021;Campos dos Goytacazes, Brasil;21276;524;1023;15732;0;-0.978697;negative
76;Tanto ódio.... ó esquerda....se amas o comunismo vão todos para a Venezuela e para Cuba.....e Alexandre G… ;0;;Sun Sep 26 01:34:02 +0000 2021;São Paulo, Brasil;47;4;9;179;0;-0.811988;negative
77;Sim só via o Alexandre Garcia e quando Coople era de lá agora não vejo mais nada ;0;;Sun Sep 26 01:33:37 +0000 2021;;40879;163;202;2228;408;-0.61236;negative
78;Parabéns Alexandre Garcia melhor jornalista do Brasil.👏🏿👏🏻👏👏🏿👏🏻👏👏🏿👏🏻👏;0;;Sun Sep 26 01:33:27 +0000 2021;Magé, Brasil;5262;1021;1251;3055;0;0.985397;positive
79;#ChupaCNN Kkkkkkkkkk Alexandre Garcia comemora 3 milhões de seguidores no Twitter mais que o dobro da C… ;0;;Sun Sep 26 01:33:25 +0000 2021;Estados Unidos;201200;1096;328;154855;0;0.0;neutral
80;"""...eu não tenho político de estimação e jamais terei... não sou de direita  mas também não sou de esquerda e às v… ";2;;Sun Sep 26 01:33:24 +0000 2021;São Paulo, Brasil;117584;11229;11189;27234;0;-0.872389;negative
81;Isso foi o meu modo de discordar da sua postagem mas se vc acredita e defende Alexan… ;0;;Sun Sep 26 01:33:11 +0000 2021;Brasil;996;341;569;1452;0;0.0;neutral
82;Bem melhor mesmo Alexandre Garcia só assim não precisamos dar audiência para a nojenta da CNN. Deus te abençoe 🙏;0;;Sun Sep 26 01:33:05 +0000 2021;;28;4;39;74;0;0.667565;positive
83;O tal de José Trajano (ex-chefe da ESPN Brasil) xingou o Alexandre Garcia de calhorda e disse que… ;0;;Sun Sep 26 01:32:34 +0000 2021;Rio de Janeiro;120857;493;467;102926;0;0.0;neutral
84;Sr. Alexandre Garcia que tal criar uma escola de jornalismo?;0;;Sun Sep 26 01:31:28 +0000 2021;Japão;48743;780;1241;52241;0;0.0;neutral
85;"Depois de ser demitido por expor sua opinião no programa ""liberdade de opinião"" da CNN Alexandre Garcia chega a ma… ";0;;Sun Sep 26 01:31:06 +0000 2021;Brasil;143722;4612;4934;133302;0;0.0;neutral
86;Eu nunca imaginei ver o Alexandre Garcia virar um defensor incondicional de um governo diturno.;0;;Sun Sep 26 01:30:27 +0000 2021;São Paulo, Brasil;749;14;179;618;0;-0.296685;negative
87;Os únicos programas que gostava de assitir nesse canal lixo 2 eram o de Alexandre Garcia e… ;0;;Sun Sep 26 01:30:17 +0000 2021;;51168;270;598;28556;0;-0.793248;negative
88;Sempre o acompanhei na CNN. Agora nem quero ouvir falar desse canal...tô fora!!! Alexandre Garcia um r… ;0;;Sun Sep 26 01:30:05 +0000 2021;Suzano - SP - Brasil;12627;332;424;12962;0;-0.892353;negative
89;A credibilidade de um profissional de imprensa é medida pelo respeito e fidelidade de seus leitore… ;0;;Sun Sep 26 01:29:08 +0000 2021;;69871;1031;1286;3785;0;0.0;neutral
90;Parece que o Alexandre Garcia estava certo CNN... ;1;;Sun Sep 26 01:29:05 +0000 2021;Ubatuba;27933;149;934;26646;19;0.0;neutral
91;Já não tinha muita coisa interessante na CNN Brasil pra assistir. Aí eles mandam embora o Alexandre Garcia. Não ten… ;0;;Sun Sep 26 01:29:02 +0000 2021;Duas Barras, RJ;3016;260;477;6705;0;-0.81122;negative
92;Alexandre Garcia é o melhor jornalista. Informação de Primeira qualidade todos os dias. Realmente uma enciclopédia… ;0;;Sun Sep 26 01:28:56 +0000 2021;;4584;133;261;2625;0;0.797979;positive
93;É só não seguir o Alexandre Garcia. Simples assim. #fechadocomalexandregarcia;0;;Sun Sep 26 01:28:11 +0000 2021;Brazil;82;33;84;152;0;-0.423728;negative
94;Parabéns Alexandre García! Você é nossa referência! Te escutamos todas as manhãs…;0;;Sun Sep 26 01:28:06 +0000 2021;Campo Grande, Brasil;13046;40;130;2175;0;0.967869;positive
95;Alexandre Garcia já está quase com mais seguidores que a #CNNLixo Ajude a superar os 2.12 milhões !!!… ;3;;Sun Sep 26 01:27:48 +0000 2021;Taubaté SP;64721;15244;14567;35780;0;-0.399889;negative
96;Cadê o Alexandre Garcia???;0;;Sun Sep 26 01:26:56 +0000 2021;João Pessoa, Brasil;6812;155;369;4498;0;0.0;neutral
97;O nicho do Alexandre Garcia é na Jovem Pan. Ele e Augusto Nunes juntos farão uma dupla dos anais d… ;0;;Sun Sep 26 01:26:14 +0000 2021;São Paulo;4813;229;518;8640;0;0.0;neutral
98;Ué mas vc não falou que não existia jornalismo profissional? Citando a Folha? Vcs não tê… ;0;;Sun Sep 26 01:26:14 +0000 2021;;298;20;547;110;0;-0.845498;negative
99;Livramento p o Alexandre Garcia #CNNLixo;1;;Sun Sep 26 01:26:14 +0000 2021;;20340;110;268;6009;0;0.0;neutral
